time,Open,High,Low,Close,Volume
2026-05-06 10:10:00+00:00,646.49,647.55,646.49,647.33,1932.19
2026-05-06 10:15:00+00:00,647.33,647.6,646.46,647.54,4867.07
2026-05-06 10:20:00+00:00,647.55,648.0,647.5,647.77,1640.06
2026-05-06 10:25:00+00:00,647.77,648.0,647.54,647.79,1746.59
2026-05-06 10:30:00+00:00,647.79,647.91,647.03,647.39,2658.01
2026-05-06 10:35:00+00:00,647.38,647.75,646.99,647.4,1947.96
2026-05-06 10:40:00+00:00,647.41,648.17,647.34,647.79,2375.23
2026-05-06 10:45:00+00:00,647.8,648.93,645.52,645.9,7963.85
2026-05-06 10:50:00+00:00,645.9,646.93,645.71,646.62,2048.68
2026-05-06 10:55:00+00:00,646.61,646.62,645.81,645.95,1552.51
2026-05-06 11:00:00+00:00,645.94,647.96,645.68,647.72,5631.14
2026-05-06 11:05:00+00:00,647.73,648.0,647.03,647.43,1235.17
2026-05-06 11:10:00+00:00,647.42,647.83,646.92,647.51,1804.25
2026-05-06 11:15:00+00:00,647.51,648.18,647.12,647.18,2639.74
2026-05-06 11:20:00+00:00,647.17,651.59,647.0,650.63,20374.15
2026-05-06 11:25:00+00:00,650.62,651.07,649.58,649.91,4502.8
2026-05-06 11:30:00+00:00,649.91,650.11,648.52,649.75,4630.61
2026-05-06 11:35:00+00:00,649.75,651.81,649.68,650.08,6697.46
2026-05-06 11:40:00+00:00,650.09,651.06,649.23,650.32,4286.21
2026-05-06 11:45:00+00:00,650.33,651.05,650.13,650.76,2802.76
2026-05-06 11:50:00+00:00,650.76,652.24,650.75,652.24,2953.77
2026-05-06 11:55:00+00:00,652.24,653.07,652.18,652.84,4730.0
2026-05-06 12:00:00+00:00,652.85,653.55,652.59,652.79,5659.4
2026-05-06 12:05:00+00:00,652.79,653.05,651.79,652.53,5367.48
2026-05-06 12:10:00+00:00,652.52,653.76,652.4,653.33,6520.36
2026-05-06 12:15:00+00:00,653.4,655.23,653.32,655.15,6811.22
2026-05-06 12:20:00+00:00,655.14,656.33,655.14,655.92,6830.84
2026-05-06 12:25:00+00:00,655.93,657.24,655.87,657.19,5120.17
2026-05-06 12:30:00+00:00,657.18,663.39,656.86,661.75,45113.88
2026-05-06 12:35:00+00:00,661.75,664.72,659.49,659.74,32138.75
2026-05-06 12:40:00+00:00,659.74,659.85,659.01,659.35,4339.71
2026-05-06 12:45:00+00:00,659.35,659.96,657.72,658.48,3494.32
2026-05-06 12:50:00+00:00,658.47,658.8,657.27,657.65,8459.13
2026-05-06 12:55:00+00:00,657.64,657.83,656.81,657.63,5383.3
2026-05-06 13:00:00+00:00,657.63,657.64,655.26,655.34,6622.21
2026-05-06 13:05:00+00:00,655.37,655.59,652.71,654.49,10390.17
2026-05-06 13:10:00+00:00,654.49,655.44,654.11,654.15,4625.3
2026-05-06 13:15:00+00:00,654.15,654.48,652.75,652.83,3420.67
2026-05-06 13:20:00+00:00,652.82,652.96,651.35,651.63,6581.43
2026-05-06 13:25:00+00:00,651.64,651.78,650.02,650.59,6591.47
2026-05-06 13:30:00+00:00,650.59,651.07,648.0,650.98,17158.27
2026-05-06 13:35:00+00:00,650.99,651.08,648.8,649.31,3347.33
2026-05-06 13:40:00+00:00,649.32,650.0,648.77,649.26,3405.81
2026-05-06 13:45:00+00:00,649.25,649.29,646.05,647.68,8503.3
2026-05-06 13:50:00+00:00,647.68,647.82,646.25,647.74,4276.44
2026-05-06 13:55:00+00:00,647.74,648.49,647.31,647.9,3747.52
2026-05-06 14:00:00+00:00,647.91,647.93,645.74,645.74,4350.94
2026-05-06 14:05:00+00:00,645.75,646.81,643.92,646.75,9097.07
2026-05-06 14:10:00+00:00,646.75,647.01,645.37,646.95,3096.65
2026-05-06 14:15:00+00:00,646.95,647.49,645.85,646.8,3368.33
2026-05-06 14:20:00+00:00,646.8,648.26,646.72,648.06,3137.29
2026-05-06 14:25:00+00:00,648.07,649.43,648.06,648.41,3598.86
2026-05-06 14:30:00+00:00,648.4,649.23,648.36,648.81,2532.91
2026-05-06 14:35:00+00:00,648.8,649.21,648.18,648.94,2148.11
2026-05-06 14:40:00+00:00,648.93,649.78,648.53,649.77,1862.68
