time,Open,High,Low,Close,Volume
2026-04-04 14:30:00+00:00,2050.9,2050.9,2049.76,2050.03,4045.056
2026-04-04 14:35:00+00:00,2050.03,2050.81,2047.74,2048.75,7006.646
2026-04-04 14:40:00+00:00,2048.76,2048.83,2043.0,2048.38,31759.819
2026-04-04 14:45:00+00:00,2048.37,2052.11,2048.16,2049.88,11071.501
2026-04-04 14:50:00+00:00,2049.88,2050.33,2049.77,2049.89,2344.472
2026-04-04 14:55:00+00:00,2049.88,2052.68,2049.7,2052.14,4938.189
2026-04-04 15:00:00+00:00,2052.13,2054.06,2051.39,2054.06,10053.454
2026-04-04 15:05:00+00:00,2054.05,2056.69,2053.14,2055.52,29795.358
2026-04-04 15:10:00+00:00,2055.53,2060.99,2054.0,2055.69,31011.19
2026-04-04 15:15:00+00:00,2055.68,2057.92,2054.63,2056.49,13200.047
2026-04-04 15:20:00+00:00,2056.5,2058.0,2053.33,2053.47,10061.406
2026-04-04 15:25:00+00:00,2053.47,2054.52,2052.21,2053.98,7199.198
2026-04-04 15:30:00+00:00,2053.98,2054.8,2053.55,2053.77,2324.406
2026-04-04 15:35:00+00:00,2053.78,2053.99,2052.69,2053.97,3070.617
2026-04-04 15:40:00+00:00,2053.97,2054.13,2052.51,2053.13,3808.39
2026-04-04 15:45:00+00:00,2053.13,2054.08,2052.12,2053.85,3651.417
2026-04-04 15:50:00+00:00,2053.84,2053.84,2052.86,2053.79,1700.181
2026-04-04 15:55:00+00:00,2053.78,2055.61,2053.78,2055.16,2113.442
2026-04-04 16:00:00+00:00,2055.16,2055.53,2053.67,2053.86,3943.575
2026-04-04 16:05:00+00:00,2053.87,2054.55,2053.76,2053.76,2197.441
2026-04-04 16:10:00+00:00,2053.76,2053.82,2052.51,2053.01,4143.651
2026-04-04 16:15:00+00:00,2053.0,2053.22,2052.61,2052.91,2667.432
2026-04-04 16:20:00+00:00,2052.92,2056.13,2052.3,2055.83,4896.94
2026-04-04 16:25:00+00:00,2055.82,2061.65,2055.37,2058.87,26379.751
2026-04-04 16:30:00+00:00,2058.88,2059.61,2056.02,2057.38,11045.436
2026-04-04 16:35:00+00:00,2057.39,2060.0,2057.38,2058.89,7484.82
2026-04-04 16:40:00+00:00,2058.89,2060.0,2058.05,2058.95,4058.468
2026-04-04 16:45:00+00:00,2058.95,2060.5,2057.78,2058.01,11796.318
2026-04-04 16:50:00+00:00,2058.0,2058.34,2055.44,2056.22,9615.686
2026-04-04 16:55:00+00:00,2056.22,2057.35,2053.95,2054.65,7553.987
2026-04-04 17:00:00+00:00,2054.66,2054.9,2051.74,2052.88,10265.658
2026-04-04 17:05:00+00:00,2052.89,2053.69,2052.4,2053.52,4597.345
2026-04-04 17:10:00+00:00,2053.52,2055.56,2052.8,2055.55,5578.755
