Strategy,CAGR %,Vol %,Sharpe,Sortino,MaxDD %,Calmar,WinRate %
Momentum (6-12M),2.69,7.45,0.394,0.762,-13.1,0.206,53.8
Value-Quality,6.04,4.63,1.247,1.901,-10.91,0.554,63.6
Sector Rotation,4.56,11.51,0.434,0.384,-15.03,0.304,60.7
Hybrid,3.61,5.94,0.628,1.075,-10.57,0.342,58.5
Nifty 50 (Benchmark),8.49,3.99,1.996,3.538,-6.71,1.266,67.2
