Month,Portfolio ₹,Month Ret %,Gain ₹,Total Ret %
Jan 2024,10008.47,0.08,8.47,0.08
Feb 2024,9979.45,-0.29,-20.55,-0.21
Mar 2024,9988.14,0.09,-11.86,-0.12
Apr 2024,9994.52,0.06,-5.48,-0.05
May 2024,9991.97,-0.03,-8.03,-0.08
Jun 2024,10026.25,0.34,26.25,0.26
Jul 2024,10043.3,0.17,43.3,0.43
Aug 2024,10049.08,0.06,49.08,0.49
Sep 2024,10088.42,0.39,88.42,0.88
Oct 2024,10087.28,-0.01,87.28,0.87
Nov 2024,10069.58,-0.18,69.58,0.7
Dec 2024,10071.63,0.02,71.63,0.72
