Strategy,Start ₹,Final ₹,Gain ₹,Return %,Max DD %,Win Rate %
Momentum,50000.0,50551.9,551.9,1.1,-4.25,45.5
Value-Quality,50000.0,48498.24,-1501.76,-3.0,-5.34,54.5
Sector Rotation,50000.0,51839.87,1839.87,3.68,-14.39,63.6
Hybrid Mom-Quality,50000.0,51712.19,1712.19,3.42,-3.35,63.6
52W High + Regime,50000.0,47695.54,-2304.46,-4.61,-4.61,9.1
Nifty 50 (Benchmark),50000.0,48669.15,-1330.85,-2.66,-5.09,54.5
